"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Focal adhesion","91/201",3.11417090663615e-16,9.87192177403658e-14,0,0,3.37574824457042,120.532436418402,"ITGB1;TNC;PTEN;PIK3CD;LAMC2;LAMC1;ELK1;ACTB;ACTG1;IGF1R;PPP1CB;CCND3;CCND2;AKT3;RAC3;ITGB8;RAC1;HRAS;PDGFRB;PDGFRA;MAP2K1;PPP1R12A;ITGA4;ITGA3;ACTN1;HGF;ITGA2;ITGA1;ACTN4;COL4A2;PIK3CA;COL4A1;COL4A4;COL4A3;ITGA8;COL4A5;COL6A3;ITGA7;COL6A6;ITGA6;TLN2;TLN1;RAF1;PPP1R12B;MYL9;CRK;MET;PPP1R12C;SOS2;VCL;TNXB;SHC3;LAMA2;ROCK1;ROCK2;PXN;LAMA3;PIK3R3;PIK3R1;THBS2;THBS1;MYL12A;EGFR;MYL12B;RAP1B;PDGFC;PIP5K1A;FLNA;FLNB;PAK3;MAPK3;VASP;JUN;LAMB3;CAV2;CAV1;VEGFC;PARVA;LAMB1;IGF1;PPP1CA;VEGFA;COL1A1;MAPK10;DIAPH1;COL1A2;ITGA10;ITGA11;ZYX;BCL2;COL9A2"
"Pathways in cancer","179/531",3.2277707279863e-14,5.11601660385829e-12,0,0,2.09069727201127,64.946255458695,"RB1;FGF1;ELK1;IGF1R;EDNRA;RASSF1;CCND3;EDNRB;RPS6KA5;CCND2;MYC;AKT3;PIM1;IL12A;SKP2;PRKACB;IL6R;PDGFRB;PDGFRA;MAP2K1;RALBP1;TPM3;DAPK2;HGF;DAPK3;WNT5A;RUNX1;MSH2;SMO;COL4A2;COL4A1;COL4A4;COL4A3;COL4A5;RAF1;TP53;NOTCH3;NOTCH1;CTBP1;EPAS1;CUL1;LPAR1;PIK3R3;PIK3R1;PLD1;RASGRP2;HIF1A;FOXO1;BCL2L11;PLCG2;DVL2;HMOX1;RALGDS;WNT2;FGF22;JAG2;STAT5A;GSTM3;STAT5B;GSTM2;JUN;TGFB2;JAG1;SMAD3;FZD5;GADD45B;FZD4;FZD7;ZBTB16;FZD6;FZD8;IGF1;GNG11;ESR1;GADD45G;NFKBIA;CDK6;CXCL12;CDK4;GNAQ;GNB2;BCL2;MDM2;GNB4;CALM1;FGFR4;FGFR2;GSTM5;FGF10;ITGB1;CDKN1A;HSP90AB1;PTEN;PIK3CD;LAMC2;LAMC1;GLI3;BBC3;GLI2;IKBKB;SUFU;CASP3;BDKRB2;RAC3;BDKRB1;RAC1;JAK2;HRAS;HSP90AA1;ARHGEF12;CHUK;GSTO1;IFNGR1;ITGA3;ITGA2;PLEKHG5;NCOA3;MMP2;AXIN2;DDB2;TGFBR2;CCNA2;PLCB4;PIK3CA;TRAF4;TRAF3;PPARG;ITGA6;ARHGEF1;PLCB1;CRK;MET;SOS2;FH;HDAC2;CAMK2D;RALA;RALB;ROCK1;LAMA2;ROCK2;CAMK2A;LAMA3;ADCY4;ADCY3;ADCY1;ADCY8;PTGS2;CBL;DLL1;EGFR;GNAI1;RELA;LRP6;DLL4;NRAS;GNG2;GNG5;GNA12;RUNX1T1;MAPK3;ARNT2;NQO1;CDKN2B;TCF7L1;LAMB3;CDKN2A;STAT1;TXNRD1;STAT3;VEGFC;LAMB1;MLH1;AGT;MTOR;VEGFA;MAPK10;RAD51;GSTA4"
"Proteoglycans in cancer","84/205",3.59888888253057e-12,3.8028259192073e-10,0,0,2.82576039832001,74.4599053890424,"ITGB1;CDKN1A;PIK3CD;ELK1;ACTB;ACTG1;IGF1R;PPP1CB;PLAU;MYC;CASP3;AKT3;PLCE1;TIMP3;RAC1;PRKACB;HRAS;MAP2K1;ARHGEF12;PPP1R12A;HGF;ITGA2;MMP2;WNT5A;GAB1;RRAS2;ANK2;SMO;PIK3CA;ARHGEF1;RAF1;PPP1R12B;TP53;MET;PPP1R12C;SOS2;CAMK2D;SDC4;ROCK1;ROCK2;SDC2;PXN;CAMK2A;TWIST2;ITPR1;PIK3R3;ITPR2;PIK3R1;CBL;HIF1A;THBS1;EGFR;NRAS;RRAS;GPC1;PLCG2;FLNA;FLNB;WNT2;MAPK3;TGFB2;FZD5;FZD4;CAV2;LUM;FZD7;CAV1;FZD6;STAT3;FZD8;PTPN11;IGF1;MAPK14;ESR1;MTOR;PPP1CA;VEGFA;COL1A1;MAPK11;COL1A2;MDM2;PDCD4;SDC1;HPSE"
"Regulation of actin cytoskeleton","84/218",1.55239526357151e-10,1.02768111735941e-08,0,0,2.5495320528505,57.5838631656085,"CYFIP2;CHRM2;ITGB1;NCKAP1;PIK3CD;WASL;FGF1;ACTB;ACTG1;PPP1CB;CFL1;BDKRB2;RAC3;BDKRB1;ITGB8;RAC1;HRAS;GIT1;PDGFRB;ACTR3;PDGFRA;ACTR2;MAP2K1;ARHGEF12;PPP1R12A;ITGA4;ITGA3;ACTN1;ITGA2;ITGA1;RRAS2;ACTN4;PIK3CA;SPATA13;ITGA8;ITGA7;MYH9;ARHGEF1;ITGA6;RAF1;PPP1R12B;MYL9;CRK;PPP1R12C;SOS2;VCL;PFN2;ROCK1;ROCK2;PXN;LPAR1;PIK3R3;PIK3R1;MYL12A;EGFR;FGD1;MYL12B;NRAS;RRAS;PDGFC;GNA12;PIP5K1A;PAK3;WASF1;MYH10;WASF2;FGF22;MAPK3;GSN;LIMK1;ARPC4;ARPC5;SSH2;PPP1CA;DIAPH1;DIAPH2;CXCL12;DIAPH3;ARPC3;ITGA10;ITGA11;FGFR4;FGFR2;FGF10"
"Human papillomavirus infection","115/331",1.6209481346363e-10,1.02768111735941e-08,0,0,2.17141941838559,48.9499598345329,"RB1;TNC;RBPJ;CCND3;CCND2;CREB3L1;AKT3;CREB3L2;ATP6V1E1;PRKACB;MAGI1;PDGFRB;MAP2K1;ATP6V0E1;WNT5A;HLA-B;HLA-A;TICAM1;HLA-E;COL4A2;COL4A1;COL4A4;COL4A3;COL4A5;ATP6V0D1;RAF1;TP53;LLGL1;ATP6V1A;NOTCH3;NOTCH1;PXN;PIK3R3;PIK3R1;PSEN1;FOXO1;ATP6V0A2;DVL2;WNT2;ATP6V0A1;JAG1;FZD5;FZD4;FZD7;FZD6;FZD8;COL1A1;COL1A2;CDK6;DLG3;CDK4;RHEB;ITGA10;ITGA11;TADA3;MDM2;COL9A2;ITGB1;CDKN1A;PTEN;PIK3CD;CHD4;LAMC2;LAMC1;TCIRG1;IKBKB;LFNG;CASP3;ITGB8;HRAS;ATP6V0B;CHUK;ITGA4;ITGA3;ITGA2;ITGA1;AXIN2;CCNA2;RBL2;CREB1;PKM;PIK3CA;NFX1;TRAF3;IRF1;ITGA8;COL6A3;ITGA7;COL6A6;ITGA6;SOS2;TLR3;CREB5;HDAC2;TNXB;LAMA2;LAMA3;PARD6G;PTGS2;THBS2;THBS1;EGFR;RELA;PPP2CB;NRAS;MAPK3;BCAP31;TCF7L1;LAMB3;STAT1;MX1;LAMB1;PPP2R3A;MTOR;VEGFA"
"AGE-RAGE signaling pathway in diabetic complications","47/100",9.60469006081753e-10,4.70385217954701e-08,0,0,3.59104814887515,74.5630851992865,"PIK3R3;PIK3CD;PIK3R1;FOXO1;RELA;NRAS;CASP3;AKT3;PIM1;PLCG2;PLCE1;RAC1;JAK2;HRAS;MAPK3;STAT5A;STAT5B;JUN;TGFB2;SMAD3;VCAM1;STAT1;PRKCE;MMP2;STAT3;VEGFC;MAPK14;F3;AGT;TGFBR2;VEGFA;COL1A1;MAPK10;DIAPH1;MAPK11;COL3A1;COL1A2;PLCB4;COL4A2;PIK3CA;COL4A1;CDK4;COL4A4;COL4A3;BCL2;COL4A5;PLCB1"
"Chronic myeloid leukemia","39/76",1.0387055286066e-09,4.70385217954701e-08,0,0,4.26399430577704,88.2019612596297,"RB1;CDKN1A;HDAC2;SHC3;CTBP1;PIK3CD;PIK3R3;PIK3R1;CBL;RELA;IKBKB;NRAS;MYC;AKT3;HRAS;MAPK3;STAT5A;STAT5B;MAP2K1;TGFB2;SMAD3;CHUK;GADD45B;CDKN2A;PTPN11;GAB2;DDB2;RUNX1;TGFBR2;GADD45G;NFKBIA;CDK6;PIK3CA;CDK4;MDM2;RAF1;CRK;SOS2;TP53"
"Cellular senescence","64/156",1.21263178152303e-09,4.80505343428499e-08,0,0,2.82231972698666,57.943558425144,"RB1;CDKN1A;PTEN;PIK3CD;FOXM1;PPP1CB;CCND3;CCND2;MYC;AKT3;CAPN1;NBN;HRAS;LIN52;MAP2K3;MAP2K1;HLA-B;RRAS2;HLA-A;HLA-E;TGFBR2;CCNA2;RBL2;PIK3CA;MAPKAPK2;VDAC2;RAF1;SQSTM1;TP53;SLC25A4;ITPR1;ITPR2;PIK3R3;PIK3R1;FOXO3;FOXO1;ZFP36L2;RELA;ZFP36L1;NRAS;RRAS;E2F4;MAP2K6;MAPK3;TGFB2;CDKN2B;SMAD3;GADD45B;CDKN2A;MAPK14;HIPK3;MTOR;GADD45G;NFATC4;HIPK2;PPP1CA;MAPK11;CDK6;CDK4;RHEB;TRPV4;MDM2;RAD1;CALM1"
"Longevity regulating pathway","47/102",2.17253968878955e-09,7.6521675705143e-08,0,0,3.46003091047496,69.0185132888732,"HDAC2;PRKAA1;IRS1;EHMT2;ADCY4;PIK3R3;PIK3CD;PRKAG2;ADCY3;IRS2;PIK3R1;ADCY1;ADIPOR1;FOXO3;ADCY8;ADIPOR2;FOXO1;RELA;IGF1R;CAMKK2;NRAS;SESN3;CREB3L1;AKT3;CREB3L2;SESN2;EIF4EBP2;PRKACB;HRAS;HSPA8;INSR;HSPA6;HSPA2;IGF1;SOD2;MTOR;CREB1;PIK3CA;RHEB;CAMK4;CAT;PPARG;EIF4E2;TP53;CRYAB;ATF4;CREB5"
"Pancreatic cancer","37/76",1.75361750919125e-08,5.55896750413626e-07,0,0,3.8354522386413,68.497341305592,"RB1;CDKN1A;RALA;RALB;PIK3CD;PIK3R3;PIK3R1;PLD1;EGFR;RELA;IKBKB;AKT3;RAC3;RAC1;RALGDS;MAPK3;MAP2K1;RALBP1;TGFB2;SMAD3;CHUK;GADD45B;CDKN2A;STAT1;STAT3;MTOR;DDB2;TGFBR2;GADD45G;VEGFA;MAPK10;CDK6;RAD51;PIK3CA;CDK4;RAF1;TP53"
